school_year,dpi_true_id,school_name,accurate_agency_type,total_enrollment
2015-16,8123_0100,Bruce Guadalupe,2r/2x Charter,1194
2015-16,8114_0100,Capitol West Academy,2r/2x Charter,287
2015-16,8105_1211,Central City Cyberschool,2r/2x Charter,440
2015-16,8109_0100,DLH Academy,2r/2x Charter,283
2015-16,8101_1056,Downtown Montessori,2r/2x Charter,247
2015-16,8131_0400,Escuela Verde,2r/2x Charter,110
2015-16,8126_0100,King's Academy,2r/2x Charter,211
2015-16,3619_0316,Academy of Accelerated Learning,Traditional Public,642
2015-16,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,449
2015-16,3619_0075,Alcott Elementary,Traditional Public,356
2015-16,3619_0073,Allen-Field Elementary,Traditional Public,696
2015-16,3619_0413,Alliance School of Milwaukee,Instrumentality Charter,203
2015-16,3619_1063,ASSATA,Partnership,120
2015-16,3619_0434,Audubon Technology and Communication High School,Traditional Public,365
2015-16,3619_0041,Audubon Technology and Communication Middle School,Traditional Public,638
2015-16,3619_0077,Auer Avenue Elementary,Traditional Public,285
2015-16,3619_0432,Banner Preparatory School of Milwaukee,Partnership,64
2015-16,3619_0188,Barbee Elementary,Traditional Public,325
2015-16,3619_0081,Barton Elementary,Traditional Public,316
2015-16,3619_0012,Bay View High,Traditional Public,880
2015-16,3619_0356,Bethune Academy,Traditional Public,487
2015-16,3619_0014,Bradley Technology High,Traditional Public,856
2015-16,3619_0089,Brown Street Academy,Traditional Public,323
2015-16,3619_0092,Browning Elementary,Traditional Public,269
2015-16,3619_0093,Bruce Elementary,Traditional Public,232
2015-16,3619_0094,Bryant Elementary,Traditional Public,215
2015-16,3619_0095,Burbank Elementary,Traditional Public,609
2015-16,3619_0098,Burdick Elementary,Traditional Public,666
2015-16,3619_0109,Business and Economics Academy of Milwaukee,Non-Instrumentality Charter,762
2015-16,3619_0407,Carmen High School of Science and Technology South Campus,Non-Instrumentality Charter,366
2015-16,3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,Non-Instrumentality Charter,507
2015-16,3619_0108,Carson Academy,Traditional Public,427
2015-16,3619_0178,Carver Academy,Traditional Public,429
2015-16,3619_0104,Cass Street Elementary,Traditional Public,359
2015-16,3619_0110,Clarke Street Elementary,Traditional Public,308
2015-16,3619_0114,Clemens Elementary,Traditional Public,293
2015-16,3619_0113,Clement Avenue Elementary,Traditional Public,437
2015-16,3619_0416,Community High School,Instrumentality Charter,247
2015-16,3619_0116,Congress Elementary,Traditional Public,764
2015-16,3619_0117,Cooper Elementary,Traditional Public,421
2015-16,3619_0501,Craig Montessori School,Traditional Public,497
2015-16,3619_0122,Curtin Elementary,Traditional Public,306
2015-16,3619_0820,Daniels University Preparatory Academy,Non-Instrumentality Charter,215
2015-16,3619_0125,Doerfler Elementary,Traditional Public,756
2015-16,3619_0143,Eighty-First Street Elementary,Traditional Public,403
2015-16,3619_0148,Elm Creative Arts Elementary,Traditional Public,479
2015-16,3619_0150,Emerson Elementary,Traditional Public,232
2015-16,3619_0152,Engleburg Elementary,Traditional Public,336
2015-16,3619_0155,Fairview Elementary,Traditional Public,667
2015-16,3619_0158,Fernwood Montessori,Traditional Public,714
2015-16,3619_0170,Fifty-Third Street Elementary,Traditional Public,393
2015-16,3619_0173,Forest Home Elementary,Traditional Public,821
2015-16,3619_0179,Franklin Elementary,Traditional Public,281
2015-16,3619_0182,Fratney Elementary,Traditional Public,432
2015-16,3619_0185,Gaenslen Elementary,Traditional Public,705
2015-16,3619_0191,Garland Elementary,Traditional Public,504
2015-16,3619_0192,Goodrich Elementary,Traditional Public,288
2015-16,3619_0410,Grandview High,Partnership,234
2015-16,3619_0193,Grant Elementary,Traditional Public,673
2015-16,3619_0196,Grantosa Drive Elementary,Traditional Public,615
2015-16,3619_0202,Greenfield Bilingual,Traditional Public,676
2015-16,3619_0236,Groppi High,Traditional Public,228
2015-16,3619_0018,Hamilton High,Traditional Public,1734
2015-16,3619_0205,Hampton Elementary,Traditional Public,256
2015-16,3619_0880,HAPA-Hmong Amer Peace Academy K3-12,Non-Instrumentality Charter,1325
2015-16,3619_0208,Hartford Avenue Elementary,Traditional Public,636
2015-16,3619_0211,Hawley Environmental School,Traditional Public,343
2015-16,3619_0212,Hawthorne Elementary,Traditional Public,259
2015-16,3619_0214,Hayes Bilingual School,Traditional Public,614
2015-16,3619_0217,Hi-Mount Elementary,Traditional Public,282
2015-16,3619_0852,Highland Community School,Non-Instrumentality Charter,375
2015-16,3619_0218,Holmes Elementary,Traditional Public,314
2015-16,3619_0334,Honey Creek Elementary,Instrumentality Charter,394
2015-16,3619_0253,Hopkins Lloyd,Traditional Public,289
2015-16,3619_0112,Howard Avenue Montessori School,Traditional Public,226
2015-16,3619_0223,Humboldt Park Elementary,Traditional Public,597
2015-16,3619_0165,IDEAL,Instrumentality Charter,285
2015-16,3619_0377,Jackson Elementary,Traditional Public,329
2015-16,3619_0409,James Madison Academic Campus,Traditional Public,733
2015-16,3619_0232,Kagel Elementary,Traditional Public,291
2015-16,3619_0235,Keefe Avenue Elementary,Traditional Public,280
2015-16,3619_0237,Kilbourn Elementary,Traditional Public,261
2015-16,3619_0210,King IB Middle,Traditional Public,370
2015-16,3619_0020,King International,Traditional Public,1464
2015-16,3619_0199,King Jr Elementary,Traditional Public,365
2015-16,3619_0337,Kluge Elementary,Traditional Public,327
2015-16,3619_1121,La Causa Charter School,Non-Instrumentality Charter,800
2015-16,3619_0296,Lad Lake Synergy School,Partnership,38
2015-16,3619_0238,LaFollette Elementary,Traditional Public,223
2015-16,3619_0241,Lancaster Elementary,Traditional Public,258
2015-16,3619_0250,Lincoln Avenue Elementary,Traditional Public,551
2015-16,3619_0006,Lincoln Middle School,Traditional Public,684
2015-16,3619_0256,Longfellow Elementary,Traditional Public,912
2015-16,3619_0257,Lowell Elementary,Traditional Public,255
2015-16,3619_0870,MacDowell Montessori School K3-12,Traditional Public,694
2015-16,3619_0265,Manitoba Elementary,Traditional Public,505
2015-16,3619_0267,Maple Tree Elementary,Traditional Public,296
2015-16,3619_0268,Maryland Montessori,Traditional Public,401
2015-16,3619_0176,Meir School,Traditional Public,885
2015-16,3619_0525,Metcalfe Elementary,Traditional Public,302
2015-16,3619_0103,Milwaukee Academy of Chinese Language,Traditional Public,444
2015-16,3619_0111,Milwaukee College Preparatory School -- 38th Street,Non-Instrumentality Charter,521
