school_year,dpi_true_id,school_name,accurate_agency_type,broad_agency_type,overall_score,overall_rating,lowest_grade,highest_grade,grade_band,school_type,school_enrollment,district_enrollment,per_am_in,per_asian,per_b_aa,per_hisp_lat,per_nh_opi,per_white,per_tom,per_swd,per_ed,per_lep,per_choice,per_open,sch_ach,sch_ela_ach,sch_math_ach,sch_growth,sch_ela_growth,sch_math_growth,sch_cg,sch_ela_cg,sch_math_cg,sch_4y_grad_gap,sch_6y_grad_gap,sch_grad_gap,sch_ot,sch_grad_rate,sch_att_rate,sch_3rd_ela,sch_8th_math,ach_weight,growth_weight,cg_weight,ot_weight,report_card_type,cg_redacted,has_2_rc
2015-16,0000_1701,A Promise of Hope Academy,Private,Private,NA,Not Rated*,K4,3,K-5,Elementary School,32,NA,0,0,0.97,0,0,0.03,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015-16,0000_1652,Academy of Excellence,Private,Private,NA,Not Rated*,K4,12,K-12,Elementary/Secondary School,650,NA,0,0.17,0.36,0.42,0,0.02,0.03,0.01,0.09,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015-16,0000_1263,Atlas Preparatory Academy,Private,Private,NA,Not Rated*,K4,12,K-12,Elementary/Secondary School,770,NA,0,0.07,0.27,0.63,0,0.02,0.01,0.11,0.99,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015-16,0000_1301,Atonement Lutheran School,Private,Private,NA,Not Rated*,K4,8,K-8,Elementary School,276,NA,0,0.01,0.82,0.04,0,0.04,0.09,0,0.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015-16,0000_1303,Believers in Christ Acad,Private,Private,NA,Not Rated*,K4,12,K-12,Elementary/Secondary School,209,NA,0,0,0.97,0.02,0,0,0.01,0.06,0.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015-16,0000_1304,Blessed Sacrament Grade Sch,Private,Private,NA,Not Rated*,K4,8,K-8,Elementary School,166,NA,0.01,0.01,0.06,0.86,0,0.04,0.02,0.07,0.98,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015-16,0000_1507,Blessed Savior Catholic Sch,Private,Private,NA,Not Rated*,K4,8,K-8,Elementary School,323,NA,0,0,0.92,0.05,0,0,0.03,0,0.76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015-16,8123_0100,Bruce Guadalupe,2r/2x Charter,Independently Operated,72.5,Meets Expectations,K4,8,K-8,Elementary School,1203,1203,0,0,0,0.98,0,0.02,0,0.08,0.77,0.23,NA,0,65.5,32.3,33.2,64.2,26.4,37.8,71.1,40.1,31,NA,NA,NA,90.2,NA,76.4,6.5,7.3,NA,NA,NA,NA,NA,0,0
2015-16,0000_1558,Calvary's Chrstn Acad Sch Arts,Private,Private,NA,Not Rated*,K4,8,K-8,Elementary School,54,NA,0,0,1,0,0,0,0,0.06,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2015-16,8114_0100,Capitol West Academy,2r/2x Charter,Independently Operated,72.8,Meets Expectations,K4,8,K-8,Elementary School,287,287,0,0.02,0.89,0.03,0,0.04,0.03,0.12,1,0.03,NA,0,36.5,18.4,18.2,72.7,39.7,33,71.5,39.6,31.9,NA,NA,NA,81.6,NA,75,3.5,3.1,NA,NA,NA,NA,NA,0,0
