school_year,dpi_true_id,school_name,agency_type,district_name,county,charter_indicator,choice_indicator,accurate_agency_type,broad_agency_type,MPCP_indicator,RPCP_indicator,WPCP_indicator,SNSP_indicator,MPCP_has_students,RPCP_has_students,WPCP_has_students,SNSP_has_students,locale_description,city,MPCP_percent,milwaukee_indicator
2015-16,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0413,Alliance School of Milwaukee,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_1063,ASSATA,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0432,Banner Preparatory School of Milwaukee,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0416,Community High School,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0410,Grandview High,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0334,Honey Creek Elementary,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0165,IDEAL,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0296,Lad Lake Synergy School,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_1072,NOVA,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_1074,Shalom High,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_1086,Southeastern,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0825,St Charles Behav Reassign Success Acad,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0398,Whittier Elementary,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2016-17,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2016-17,3619_0413,Alliance School of Milwaukee,Public school,Milwaukee,Milwaukee,1,0,Instrumentality Charter,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2016-17,3619_1063,ASSATA High,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2016-17,3619_0432,Banner Preparatory School of Milwaukee,Public school,Milwaukee,Milwaukee,0,0,Partnership,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
